name,probability_female,frequency
Abigayle,0.9991505266734625,1.6907937661140494e-05
Abigeal,1,6.319650501955333e-08
Abigel,1,8.90496207093706e-08
Abigial,1,4.768463560566297e-07
Abiha,1,3.303453671476651e-07
Abihail,1,8.33044838894112e-08
Abijah,0.17701863354037267,9.249670280134624e-07
Abilene,1,3.0592853566283772e-06
Abilgail,1,8.043191547943151e-08
Abilio,0,1.4362842049898485e-08
Abilyn,1,1.4362842049898485e-08
Abilynn,1,1.7235410459878182e-08
Abimael,0,3.260365145326956e-06
Abimbola,0.9411764705882353,2.4416831484827424e-07
Abimelec,0,1.780992414187412e-07
Abin,0,2.872568409979697e-08
Abinadab,0,1.4362842049898485e-08
Abinadi,0,6.319650501955333e-08
Abinav,0,1.2639301003910666e-07
Abinaya,1,1.666089677788224e-07
Abiodun,0,5.170623137963454e-08
Abiola,0.7743589743589744,5.601508399460409e-07
Abiona,1,5.457879978961424e-08
Abir,0.23095238095238096,1.2064787321914726e-06
Abira,1,7.755934706945182e-08
Abiram,0,3.4470820919756364e-08
Abirami,1,1.0341246275926908e-07
Abisag,1,4.596109455967515e-08
Abisai,0.06903991370010787,2.662870916051179e-06
Abisaid,0,1.4362842049898485e-08
Abish,1,6.894164183951273e-08
